,max_depth,mean accuracy,std accuracy,mean train time,std train time,mean test time,std test time
0,1,0.5,0.0,0.12527141571044922,0.008223701515096556,0.008029985427856445,0.0002972406565036342
1,2,0.62,0.0,0.133211350440979,0.005007831477063661,0.008793973922729492,0.0018122321168438271
2,3,0.6266666666666667,0.0,0.14865190982818605,0.00486727735200745,0.008823823928833009,0.00046060025750568033
3,4,0.6399999999999999,1.1102230246251565e-16,0.16063051223754882,0.005022640101344154,0.008996701240539551,0.0003545822548103118
4,5,0.6666666666666667,1.1102230246251565e-16,0.17944369316101075,0.006521414899821816,0.01003565788269043,0.0009554004021386582
5,6,0.6666666666666667,1.1102230246251565e-16,0.19053373336791993,0.006196675484486193,0.009988975524902344,0.00039116204760353436
6,7,0.6466666666666666,0.0,0.18874192237854004,0.00784618262886256,0.00966475009918213,0.00019198817852289726
7,8,0.6666666666666667,1.1102230246251565e-16,0.18576152324676515,0.00438150095973102,0.009763002395629883,0.0002496214286258288
8,9,0.6666666666666667,1.1102230246251565e-16,0.18678658008575438,0.002358723303346496,0.009712910652160645,0.00016088811649770152
9,10,0.6666666666666667,1.1102230246251565e-16,0.18854067325592042,0.004180862718238692,0.009818816184997558,0.00023029076162122357
10,11,0.6466666666666666,0.0,0.18995046615600586,0.004685285793376027,0.009774351119995117,0.0002194168191233434
11,12,0.6533333333333333,0.0,0.18894605636596679,0.005802821227102801,0.00977327823638916,0.00015487702645952824
12,13,0.66,0.0,0.20156412124633788,0.014775213765002838,0.010457158088684082,0.0009575897737623225
13,14,0.66,0.0,0.1931546449661255,0.0069164747781283705,0.010102605819702149,0.00019415492816969945
14,15,0.66,0.0,0.19295873641967773,0.00466026643172221,0.009860706329345704,0.00013061072878497624
15,16,0.66,0.0,0.18997526168823242,0.005215792879227583,0.009902763366699218,0.00022205587145668405
16,17,0.66,0.0,0.19080677032470703,0.008295950958423436,0.009926700592041015,0.0004086200682409226
17,18,0.66,0.0,0.2003347396850586,0.013287698748867722,0.010863018035888673,0.0011349685051270544
18,19,0.66,0.0,0.19644172191619874,0.005724620808020249,0.010052037239074708,0.0003114163582958399
19,20,0.66,0.0,0.19499340057373046,0.005883695803330495,0.010260200500488282,0.00041235919951421944
