,max_features,mean accuracy,std accuracy,mean train time,std train time,mean test time,std test time
0,0.05,0.6666666666666667,1.1102230246251565e-16,0.1760709762573242,0.00258449726364314,0.010138511657714844,0.00024521354917304296
1,0.1,0.6799999999999999,1.1102230246251565e-16,0.2261486291885376,0.009832201270873574,0.00998375415802002,0.00022437684962070046
2,0.15,0.66,0.0,0.26772973537445066,0.006729539576202389,0.00981576442718506,0.000289175476783082
3,0.2,0.6466666666666666,0.0,0.3349088430404663,0.03199030087762252,0.010248756408691407,0.0005945776695351933
4,0.25,0.6399999999999999,1.1102230246251565e-16,0.36228845119476316,0.012464846809147988,0.009940171241760254,0.0001558537874920299
5,0.3,0.6466666666666666,0.0,0.40135600566864016,0.005527130921830501,0.010043191909790038,0.00045733038691902816
6,0.35,0.6399999999999999,1.1102230246251565e-16,0.4506907224655151,0.01413199496549242,0.009753036499023437,0.00025337683202618686
7,0.39999999999999997,0.6466666666666666,0.0,0.48883819580078125,0.004350664238300053,0.00997011661529541,0.0004709636155311966
8,0.44999999999999996,0.66,0.0,0.5294835090637207,0.003807949257560277,0.009630775451660157,0.00016923672904403648
9,0.49999999999999994,0.6533333333333333,0.0,0.5788017511367798,0.01179601044421012,0.009947109222412109,0.0003599766814935961
10,0.5499999999999999,0.6333333333333332,1.1102230246251565e-16,0.612479281425476,0.004027162935675767,0.010507893562316895,0.0004363275748009984
11,0.6,0.6533333333333333,0.0,0.6604453563690186,0.004873629760808488,0.009852957725524903,0.0004934617595603151
12,0.65,0.6133333333333333,0.0,0.6959108591079712,0.009501390065444605,0.00974881649017334,0.00046068824713194306
13,0.7,0.6399999999999999,1.1102230246251565e-16,0.7516358137130738,0.027666872479441745,0.009964966773986816,0.00040997142589267103
14,0.75,0.6333333333333332,1.1102230246251565e-16,0.7961960077285767,0.029330084353134077,0.009813046455383301,0.00037664875511330054
15,0.7999999999999999,0.6333333333333332,1.1102230246251565e-16,0.8390768766403198,0.015259391590698303,0.009896588325500489,0.00033819676790180256
16,0.85,0.6466666666666666,0.0,0.8718115806579589,0.005306983925674043,0.00987865924835205,0.00039680276302620534
17,0.9,0.6533333333333333,0.0,0.91069495677948,0.009343307176098834,0.009334111213684082,0.00011752384071650376
18,0.95,0.6466666666666666,0.0,0.950898814201355,0.006743496674685869,0.009631752967834473,0.00030609596093713855
19,1.0,0.6399999999999999,1.1102230246251565e-16,1.0307468175888062,0.021707486653578852,0.00993661880493164,0.0004245736314010129
